epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,46118.4,1.4064,0.63089,1.14871,0.73292,0.60721,0.6681,0.42932,1.87042,0.90211,1.25421,0.0003614,0.0003614,0.0003614
58,47061.8,1.39672,0.62643,1.15907,0.76315,0.60503,0.67252,0.43106,1.87837,0.94676,1.28135,0.000358925,0.000358925,0.000358925
59,47714.1,1.38959,0.61895,1.15866,0.74292,0.6305,0.68305,0.44113,1.888,0.9142,1.27244,0.00035645,0.00035645,0.00035645
60,48495.9,1.37694,0.61737,1.14629,0.737,0.61942,0.67445,0.43256,1.91688,0.877,1.28751,0.000353975,0.000353975,0.000353975
61,49294.6,1.38561,0.61242,1.14042,0.73999,0.61951,0.67781,0.4372,1.85897,0.96523,1.27731,0.0003515,0.0003515,0.0003515
62,50161.3,1.38079,0.61185,1.14404,0.74614,0.61737,0.67838,0.44203,1.85798,0.90375,1.2696,0.000349025,0.000349025,0.000349025
63,51147.4,1.35048,0.62531,1.13004,0.7475,0.62427,0.67723,0.43799,1.88673,0.91039,1.274,0.00034655,0.00034655,0.00034655
64,51840,1.35948,0.61192,1.14198,0.73379,0.62761,0.67775,0.43521,1.87278,0.90719,1.29294,0.000344075,0.000344075,0.000344075
65,52584.6,1.34478,0.61021,1.12429,0.78078,0.60908,0.68572,0.44208,1.87383,0.92314,1.28107,0.0003416,0.0003416,0.0003416
66,53147.7,1.35424,0.59996,1.13266,0.73192,0.63302,0.68065,0.43479,1.88554,0.91083,1.28043,0.000339125,0.000339125,0.000339125
67,53993.4,1.33331,0.58246,1.12416,0.74957,0.61977,0.67889,0.43828,1.8679,0.87994,1.27925,0.00033665,0.00033665,0.00033665
68,54530,1.36495,0.60328,1.13639,0.76277,0.6237,0.69083,0.44054,1.87323,0.83976,1.27795,0.000334175,0.000334175,0.000334175
69,55397.6,1.33106,0.57643,1.12369,0.75086,0.6353,0.68559,0.43654,1.88609,0.85343,1.27979,0.0003317,0.0003317,0.0003317
70,56182.4,1.32096,0.59718,1.11649,0.76044,0.62529,0.68364,0.44143,1.87641,0.86199,1.27242,0.000329225,0.000329225,0.000329225
71,57153.4,1.33833,0.57941,1.12661,0.76558,0.60738,0.67764,0.43577,1.91324,0.88813,1.28864,0.00032675,0.00032675,0.00032675
72,58116.6,1.3112,0.58906,1.11614,0.76351,0.61898,0.68064,0.43981,1.94819,0.8398,1.31394,0.000324275,0.000324275,0.000324275
73,58811.8,1.33044,0.58429,1.12805,0.7632,0.63122,0.68713,0.44397,1.87888,0.84533,1.27967,0.0003218,0.0003218,0.0003218
74,59780.3,1.30891,0.56824,1.11542,0.78709,0.61678,0.68769,0.44339,1.87557,0.84015,1.28254,0.000319325,0.000319325,0.000319325
75,60763.9,1.31856,0.56978,1.11959,0.74373,0.64059,0.68951,0.44506,1.89837,0.83105,1.30353,0.00031685,0.00031685,0.00031685
76,61596.9,1.28905,0.55456,1.1096,0.72907,0.64493,0.68971,0.44567,1.90733,0.85146,1.30465,0.000314375,0.000314375,0.000314375
77,62489.2,1.305,0.57076,1.11505,0.75532,0.63572,0.68801,0.44456,1.91758,0.83348,1.30585,0.0003119,0.0003119,0.0003119
78,63172.2,1.28745,0.5762,1.10818,0.74706,0.64403,0.68814,0.44679,1.88306,0.8324,1.29049,0.000309425,0.000309425,0.000309425
79,63930.1,1.27579,0.53975,1.10533,0.75415,0.63011,0.68892,0.44384,1.90906,0.85157,1.30075,0.00030695,0.00030695,0.00030695
80,64726.1,1.28695,0.56637,1.10301,0.77095,0.61768,0.6897,0.44384,1.90605,0.84987,1.30921,0.000304475,0.000304475,0.000304475
81,65491.5,1.28369,0.55476,1.10522,0.77945,0.62058,0.68969,0.44489,1.90441,0.83563,1.30232,0.000302,0.000302,0.000302
82,66062.8,1.28475,0.54561,1.10134,0.78218,0.61262,0.68493,0.44498,1.92535,0.83653,1.30811,0.000299525,0.000299525,0.000299525
83,67025.6,1.27893,0.54692,1.09783,0.76524,0.6168,0.68474,0.44047,1.93714,0.86933,1.31728,0.00029705,0.00029705,0.00029705
84,68023.3,1.25183,0.52328,1.09032,0.75806,0.61895,0.68242,0.44032,1.92464,0.88911,1.3035,0.000294575,0.000294575,0.000294575
85,68853.5,1.2542,0.54974,1.09116,0.77217,0.62593,0.68659,0.44346,1.92531,0.86813,1.30301,0.0002921,0.0002921,0.0002921
86,69999.7,1.26217,0.54142,1.09357,0.76104,0.63165,0.6819,0.44308,1.93637,0.86849,1.30321,0.000289625,0.000289625,0.000289625
87,70792.9,1.25361,0.52303,1.08705,0.75218,0.63742,0.67919,0.44214,1.91971,0.86593,1.29077,0.00028715,0.00028715,0.00028715
88,71730,1.23817,0.53792,1.08873,0.77199,0.62193,0.6819,0.44224,1.90555,0.86234,1.28291,0.000284675,0.000284675,0.000284675
89,72648.4,1.23527,0.52428,1.09332,0.74048,0.63906,0.6802,0.44383,1.90696,0.85823,1.29034,0.0002822,0.0002822,0.0002822
90,73456.2,1.2505,0.53396,1.08545,0.73899,0.64089,0.68071,0.44227,1.90955,0.84883,1.29775,0.000279725,0.000279725,0.000279725
91,74440.7,1.23995,0.51708,1.08119,0.76938,0.62616,0.68203,0.44285,1.89925,0.83299,1.29112,0.00027725,0.00027725,0.00027725
92,75056.5,1.23443,0.52287,1.07802,0.76431,0.63553,0.68509,0.44424,1.90518,0.81555,1.30138,0.000274775,0.000274775,0.000274775
93,76017.1,1.2252,0.51792,1.08378,0.76805,0.63099,0.68669,0.44415,1.90533,0.82495,1.3115,0.0002723,0.0002723,0.0002723
94,76672.4,1.22392,0.50728,1.08161,0.75335,0.63995,0.68264,0.44382,1.90226,0.8371,1.31371,0.000269825,0.000269825,0.000269825
95,77402.2,1.24063,0.51914,1.08064,0.74388,0.65303,0.68435,0.44278,1.89204,0.83295,1.30809,0.00026735,0.00026735,0.00026735
96,78257.2,1.20469,0.50159,1.06814,0.74893,0.64584,0.68736,0.44425,1.89942,0.83468,1.30827,0.000264875,0.000264875,0.000264875
97,79126.4,1.20598,0.50451,1.07059,0.77129,0.63251,0.68757,0.44306,1.89844,0.83981,1.30715,0.0002624,0.0002624,0.0002624
98,79836.3,1.21621,0.51357,1.08323,0.76208,0.6472,0.69026,0.4442,1.88989,0.84157,1.30212,0.000259925,0.000259925,0.000259925
99,80815,1.19369,0.4878,1.0631,0.75003,0.652,0.68737,0.44187,1.89343,0.84513,1.30191,0.00025745,0.00025745,0.00025745
100,81419.6,1.20389,0.49964,1.07397,0.76909,0.63576,0.68768,0.44087,1.89491,0.84829,1.2966,0.000254975,0.000254975,0.000254975
101,82140.6,1.19807,0.5078,1.06978,0.76079,0.64195,0.68394,0.43992,1.89283,0.85432,1.29073,0.0002525,0.0002525,0.0002525
102,83172.5,1.21427,0.5135,1.07493,0.75037,0.64031,0.68319,0.44083,1.88597,0.85696,1.28383,0.000250025,0.000250025,0.000250025
103,84095.4,1.1998,0.51305,1.0653,0.75049,0.64068,0.68027,0.43795,1.89704,0.85317,1.29072,0.00024755,0.00024755,0.00024755
104,84682.5,1.17303,0.48631,1.06143,0.75332,0.63984,0.68237,0.43986,1.88959,0.84134,1.28899,0.000245075,0.000245075,0.000245075
105,85425.4,1.15788,0.47483,1.05925,0.74439,0.63943,0.68299,0.44168,1.88997,0.83827,1.28317,0.0002426,0.0002426,0.0002426
106,86273.4,1.19871,0.50167,1.06317,0.76724,0.62644,0.68524,0.44339,1.90184,0.82784,1.29189,0.000240125,0.000240125,0.000240125
107,87315,1.14957,0.48253,1.04884,0.75216,0.62944,0.68765,0.44406,1.91274,0.81846,1.29183,0.00023765,0.00023765,0.00023765
108,88037.2,1.1709,0.47571,1.0536,0.73671,0.64717,0.68994,0.4454,1.9118,0.81303,1.29412,0.000235175,0.000235175,0.000235175
109,88726.3,1.16596,0.47816,1.05758,0.74763,0.64441,0.69046,0.44564,1.89851,0.8069,1.28845,0.0002327,0.0002327,0.0002327
110,89615.6,1.1752,0.47699,1.06872,0.75245,0.64534,0.69143,0.44763,1.88323,0.80008,1.28535,0.000230225,0.000230225,0.000230225
111,90348.3,1.15945,0.48447,1.05979,0.76223,0.64281,0.69233,0.44844,1.87657,0.79379,1.2843,0.00022775,0.00022775,0.00022775
112,90983.3,1.15927,0.48924,1.05408,0.76645,0.6447,0.69407,0.44808,1.88053,0.78606,1.28859,0.000225275,0.000225275,0.000225275
113,91966.9,1.20026,0.48955,1.06311,0.76456,0.64376,0.69336,0.44703,1.89153,0.78694,1.29732,0.0002228,0.0002228,0.0002228
114,92627.9,1.15007,0.46917,1.05596,0.773,0.63806,0.69285,0.44639,1.89743,0.78506,1.29965,0.000220325,0.000220325,0.000220325
115,93377.7,1.15938,0.47278,1.05672,0.7643,0.63633,0.69028,0.4465,1.90277,0.78654,1.30429,0.00021785,0.00021785,0.00021785
116,94211.6,1.16469,0.48514,1.05221,0.75447,0.64071,0.68991,0.4463,1.90404,0.79179,1.3048,0.000215375,0.000215375,0.000215375
117,94899.3,1.15633,0.47466,1.0461,0.75038,0.64613,0.69145,0.44634,1.90143,0.79023,1.30627,0.0002129,0.0002129,0.0002129
